year_of_arrival,flag,place_of_purchase,place_of_landing,percent_women,percent_children,percent_men,total_embarked,total_disembarked,resistance_label,vessel_name,captain's_name,voyage_id,sources
1532,Spain / Uruguay,Cape Verde Islands,"Puerto Rico, port unspecified",,,,287,230,,Santa Maria de Regla,"Galdamez, Francisco de",44292,"[u'Tanodi, 287<>Tanodi, Aurelio, <i>Documentos de la real hacienda de Puerto Rico</i>, 2 vols. (San Juan, Puerto Rico, 2009), vol. 2, <i>1510-1545</>  ', u'P\xe9rez Garc\xeda and Chaves, 605, n.49<><p>P&eacute;rez Garc&iacute;a, Rafael M., and Manuel F. Fern&aacute;ndez Chaves, ""Sevilla y la trata negrera atl&aacute;ntica: env&iacute;os de esclavos desde Cabo Verde a la Am&eacute;rica espa&ntilde;ola, 1569-1579,"" in Le&oacute;n Carlos &Aacute;lvarez Santal&oacute; (coord.), <em>Estudios de Historia Moderna en Homenaje al profesor Antonio Garc&iacute;a-Baquero</em> (Seville, 2009), 597-622</p>']"
1532,Portugal / Brazil,Sao Tome,"Hispaniola, unspecified",,,,359,287,,S João,"Díaz, Fernán",46478,"[u'ANTT,CC,Parte II, maco 205, doc 13<><i>Instituto dos Arquivos Nacionais/Torre do Tombo</i> (Lisbon, Portugal) Corpo Cronol\xf3gico']"
1533,,Cape Verde Islands,"Puerto Rico, port unspecified",,,,359,287,,S Pedro,"Yañez, Jorge",28215,"[u'Tanodi, 289<>Tanodi, Aurelio, <i>Documentos de la real hacienda de Puerto Rico</i>, 2 vols. (San Juan, Puerto Rico, 2009), vol. 2, <i>1510-1545</>  ']"
1534,Portugal / Brazil,Sao Tome,"Hispaniola, unspecified",,,,359,287,,S Antônio,"Eanes, João",46476,"[u'ANTT,CC,Parte II, maco 187, doc 82<><i>Instituto dos Arquivos Nacionais/Torre do Tombo</i> (Lisbon, Portugal) Corpo Cronol\xf3gico', u'ANTT,CC,Parte II,210,91 (Antilles)<><i>Instituto dos Arquivos Nacionais/Torre do Tombo</i> (Lisbon, Portugal) Corpo Cronol\xf3gico']"
1534,Portugal / Brazil,Congo River,"Spanish Caribbean, unspecified",,,,359,287,,Conceição,"Monteiro, Pero",46480,"[u'ANTT,CC,Parte II, maco 190, doc 50<><i>Instituto dos Arquivos Nacionais/Torre do Tombo</i> (Lisbon, Portugal) Corpo Cronol\xf3gico', u'ANTT,CC,Parte II, maco 209, doc 85<><i>Instituto dos Arquivos Nacionais/Torre do Tombo</i> (Lisbon, Portugal) Corpo Cronol\xf3gico']"
1535,Portugal / Brazil,Sao Tome,"Hispaniola, unspecified",,,,359,287,,S Miguel,"Guizado, João",46477,"[u'ANTT,CC,Parte II, maco 196, doc 47<><i>Instituto dos Arquivos Nacionais/Torre do Tombo</i> (Lisbon, Portugal) Corpo Cronol\xf3gico', u'ANTT,CC,Parte II,210,91 (Antilles)<><i>Instituto dos Arquivos Nacionais/Torre do Tombo</i> (Lisbon, Portugal) Corpo Cronol\xf3gico']"
1539,,Cape Verde Islands,San Juan,,,,50,40,,S Anton,"González, Diego",5085,"[u'Tanodi, 289<>Tanodi, Aurelio, <i>Documentos de la real hacienda de Puerto Rico</i>, 2 vols. (San Juan, Puerto Rico, 2009), vol. 2, <i>1510-1545</>  ']"
1542,,"Africa., port unspecified","Spanish Circum-Caribbean,unspecified",,,,374,299,, ,,42962,"[u'Leiva Vivas, 91<><p>Leiva Vivas, Rafael,<em> Trafico de esclavos negros esclavos a Honduras </em>(Alicante<em>, </em>Biblioteca Virtual Miguel de Cervantes, 2012)</p>']"
1545,,Cape Verde Islands,"Spanish Circum-Caribbean,unspecified",,,,346,277,,Santa Maria de la Concepcion,"Gonçalves, Sebastian",41611,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Ventura,56,122,132-33<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).', u'Chaunus,II,372-73,380<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>']"
1545,,Cape Verde Islands,San Domingo (a) Santo Domingo,,,,381,305,,San Juan,"Estevan, Gaspar",41612,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Ventura,56,123, 126-27, 131<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).', u'Chaunus,II,374-75, 379, 384-85<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>']"
1545,,Cape Verde Islands,New Spain,,,,384,307,,Santa Maria de la Encarnacion,"Lopez, Diego",41613,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Chaunus,II:374-75,381<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'Ventura,56,124,128, 131-32<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).']"
1545,,Cape Verde Islands,New Spain,,,,327,261,,Buenaventura,"Garcia, Francisco",41614,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Chaunus,II:372-73,380<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'Ventura,56,122,132-33<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).']"
1545,,Cape Verde Islands,New Spain,,,,360,288,,Sta Maria de Garcia,"Marin, Francisco de",41616,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Ventura,56,128,132<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).']"
1545,,Cape Verde Islands,"Puerto Rico, port unspecified",,,,296,236,,Santa Cruz,"Gonçalves, Amador",41618,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Ventura,56,126,132<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).']"
1545,,Cape Verde Islands,"Spanish Circum-Caribbean,unspecified",,,,363,290,,Anunciada,"Abrego, Agustin de<br/> Martin Lopez",41619,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Arcila Far\xedas, 1946,392-93, 419n23<><p>Arcila Far&iacute;as, Eduardo, <em>Econom&iacute;a colonial de Venezuela</em> (M&eacute;xico, 1946).</p>', u'Mira Caballos, 291<><p>Esteban Mira Caballos, ""Las Licencias de escravos negros a <span class=""st"">Hispanoam&eacute;rica</span> (1544-1550),"" <em>Revista de Indias</em>, 54 (1994): 273-98</p>', u'Ventura, 56,124<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).']"
1545,,Cape Verde Islands,"Puerto Rico, port unspecified",,,,304,243,,Santo Espirito,"Fernandez, Matias",41622,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Ventura,65-66, 126<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).']"
1546,,Cape Verde Islands,Veracruz,,,,363,290,,S Anton,"Savago, Juan (Gaspar)<br/> Alfaro, Pedro",41624,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Arcila Far\xedas, 1946,392-93, 419, n. 23<><p>Arcila Far&iacute;as, Eduardo, <em>Econom&iacute;a colonial de Venezuela</em> (M&eacute;xico, 1946).</p>', u'Mira Caballos, 291<><p>Esteban Mira Caballos, ""Las Licencias de escravos negros a <span class=""st"">Hispanoam&eacute;rica</span> (1544-1550),"" <em>Revista de Indias</em>, 54 (1994): 273-98</p>', u'Ventura, 56,122<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).', u'P\xe9rez Garc\xeda and Chaves, 605,n.49<><p>P&eacute;rez Garc&iacute;a, Rafael M., and Manuel F. Fern&aacute;ndez Chaves, ""Sevilla y la trata negrera atl&aacute;ntica: env&iacute;os de esclavos desde Cabo Verde a la Am&eacute;rica espa&ntilde;ola, 1569-1579,"" in Le&oacute;n Carlos &Aacute;lvarez Santal&oacute; (coord.), <em>Estudios de Historia Moderna en Homenaje al profesor Antonio Garc&iacute;a-Baquero</em> (Seville, 2009), 597-622</p>']"
1546,,Cape Verde Islands,New Spain,,,,50,40,,Santa Maria de Guadalupe,"Garcia, Juan<br/> Juan de Alemansa",41626,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Ventura, 56, 132<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).', u'Chaunus,II: 388-89, 392-93<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>']"
1546,,Cape Verde Islands,New Spain,,,,312,250,,Santa Maria de la Misericordia,"Perez, Sebastian",41627,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Ventura, 56,132<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).', u'Chaunus,II: 390-91<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>']"
1547,,Cape Verde Islands,New Spain,,,,359,287,,S Maria de Gracia,Romero. Cristobal,42740,"[u'Chaunus, 2: 400-405<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'AGI,Contratacion,2898, f. 141r<><p><em>AG!</em> (Seville)</p>']"
1547,,Cape Verde Islands,New Spain,,,,365,292,,Vitoria,"Enriquez, Juan",41633,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Chaunus,II: 400-1, 405, 422-23, 427<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'Ventura, 56, 121, 124<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).']"
1547,,Cape Verde Islands,New Spain,,,,359,287,,Santa Barbola,"Alonso, Blas",41638,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Chaunus,II:404-405, 424-425<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'Ventura, 56, 130<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).']"
1548,,Cape Verde Islands,New Spain,,,,410,328,,San Juan,"Sanchez, Francisco",41640,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Chaunus,II: 412-13, 426-27<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'Ventura,56,124<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).']"
1548,,Cape Verde Islands,New Spain,,,,371,297,,Spiritu Santo,"Gomez, Manuel",41643,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Chaunus,II: 412-13, 438-39<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'Ventura, 56,124,128, 131-32<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).']"
1548,,Cape Verde Islands,San Domingo (a) Santo Domingo,,,,30,24,,Santa Cruz,"Carrion, Gines<br/> Carrion, Blas",41645,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Chaunus,II: 414-15, 418<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'Ventura, 56, 129, 132<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).']"
1548,,Cape Verde Islands,New Spain,,,,357,286,,Dios la dio,"Rodrigues, Cristobal",41647,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Chaunus,II: 414-15, 418<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'Mira Caballos, 293<><p>Esteban Mira Caballos, ""Las Licencias de escravos negros a <span class=""st"">Hispanoam&eacute;rica</span> (1544-1550),"" <em>Revista de Indias</em>, 54 (1994): 273-98</p>', u'Ventura, 56, 128, 131, 133<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).']"
1549,,"Africa., port unspecified",Cartagena,,,,359,287,,Santa Maria de Guia,"Mendes, Manuel Diaz",29647,"[u'AGI, Panama, L 8, fl 333r-334<><p><em>AG!</em> (Seville)</p>']"
1549,,Cape Verde Islands,"Spanish Circum-Caribbean,unspecified",,,,359,287,,NS de Concepcion,"Caravajal, Luis de",42954,"[u'Chaunus,2:430-36<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>']"
1549,,Cape Verde Islands,New Spain,,,,314,251,,Concepcion,"Alonso, Domingo",41648,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Ventura, 56,122-23, 128,131<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).', u'Chaunus,II, 414-15, 419<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>']"
1549,,Cape Verde Islands,New Spain,,,,380,304,,San Juan,"Quesada, Diego",41649,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Chaunus,II: 416-17, 420, 440-41, 443<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'Ventura, 56, 125, 130-31<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).']"
1549,,Cape Verde Islands,"Spanish Circum-Caribbean,unspecified",,,,349,279,,Santa Maria de Guia,"Martin, Manuel",41650,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Chaunus,II: 416-17, 421<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'Ventura,56,121,123, 125, 128,130,133<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).']"
1549,,Cape Verde Islands,San Domingo (a) Santo Domingo,,,,363,290,,Santa Maria de Guia,"Vaz, Gonçalo",41651,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Chaunus,II: 428-29, 435<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'Ventura,125<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).', u'Mira Caballos, 294<><p>Esteban Mira Caballos, ""Las Licencias de escravos negros a <span class=""st"">Hispanoam&eacute;rica</span> (1544-1550),"" <em>Revista de Indias</em>, 54 (1994): 273-98</p>']"
1549,,Cape Verde Islands,New Spain,,,,403,322,,Concepcion,"Palma, Juan de",41652,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Chaunus, II: 428-29<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'Mira Caballos, 294<><p>Esteban Mira Caballos, ""Las Licencias de escravos negros a <span class=""st"">Hispanoam&eacute;rica</span> (1544-1550),"" <em>Revista de Indias</em>, 54 (1994): 273-98</p>', u'AGI,Contrataci\xf3n, 2898, f. 153v<><p><em>AG!</em> (Seville)</p>', u'Ventura, 56, 121, 126-27, 131<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).']"
1549,,Cape Verde Islands,"Honduras, port unspecified",,,,353,282,,Trinidad,"Andonalgui, Pedro de",41653,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Chaunus,II: 454-55, 461<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'Ventura, 56, 121, 125, 129, 133<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).']"
1549,,Cape Verde Islands,San Domingo (a) Santo Domingo,,,,371,297,,Santa Maria de Nazaren,"Ramos, Sebastiam",41654,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Chaunus,II:428-29, 435, 437, 440-41, 443<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'Ventura, 124, 127<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).']"
1549,,Cape Verde Islands,New Spain,,,,387,309,,Santa Barbola,"Almansa, Francisco de",41655,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Chaunus,II: 428-29, 435<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'Mira Caballos, 294<><p>Esteban Mira Caballos, ""Las Licencias de escravos negros a <span class=""st"">Hispanoam&eacute;rica</span> (1544-1550),"" <em>Revista de Indias</em>, 54 (1994): 273-98</p>', u'Ventura, 56, 130, 133<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).']"
1549,,Cape Verde Islands,New Spain,,,,435,348,,Santiago,"Campos, Alonso",41656,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Chaunus,II: 428-29, 435, 454-55,458,461<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'Ventura,  56, 121, 129<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).']"
1549,,Cape Verde Islands,"Spanish Circum-Caribbean,unspecified",,,,329,263,,Santi Spiritus,"Marçotegui, Martim Perez de",41657,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Chaunus,II:428-29, 436<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'Mira Caballos, 295<><p>Esteban Mira Caballos, ""Las Licencias de escravos negros a <span class=""st"">Hispanoam&eacute;rica</span> (1544-1550),"" <em>Revista de Indias</em>, 54 (1994): 273-98</p>', u'Ventura, 56, 121<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).', u'AGI,Contrataci\xf3n,2898, f. 154r<><p><em>AG!</em> (Seville)</p>']"
1549,,Cape Verde Islands,New Spain,,,,376,300,,Concepcion y Espiritu Santo,"Maldonado, Alonso Perez<br/> Baez, Lorenzo",41658,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Chaunus,II: 446-47, 451, 490-91<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'Ventura, 56, 131, 133<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).', u'AGI,Contrataci\xf3n, 2898, fol. 163r<><p><em>AG!</em> (Seville)</p>']"
1549,,Cape Verde Islands,"Spanish Circum-Caribbean,unspecified",,,,358,286,,Piedad,"Carrasco, Pedro<br/> Flamenco, Cristobal",41659,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Chaunus,II: 430-31, 435-36<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'Mira Caballos, 295<><p>Esteban Mira Caballos, ""Las Licencias de escravos negros a <span class=""st"">Hispanoam&eacute;rica</span> (1544-1550),"" <em>Revista de Indias</em>, 54 (1994): 273-98</p>', u'Ventura, 56, 121-22<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).', u'AGI,Contrataci\xf3n,2898, fol. 154v<><p><em>AG!</em> (Seville)</p>']"
1549,,Cape Verde Islands,New Spain,,,,413,330,,San Juan,"Azevedo, Gaspar de",41660,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Chaunus,II: 430-31, 456-57, 461<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'Mira Caballos,295<><p>Esteban Mira Caballos, ""Las Licencias de escravos negros a <span class=""st"">Hispanoam&eacute;rica</span> (1544-1550),"" <em>Revista de Indias</em>, 54 (1994): 273-98</p>', u'Ventura, 56, 122, 124, 129<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).', u'AGI-Contrataci\xf3n,2898, f.154v<><p><em>AG!</em> (Seville)</p>']"
1549,,Cape Verde Islands,New Spain,,,,354,283,,Santa Maria de Begona,"Guadalupe, Cristobal de",41661,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Chaunus, II:430-31, 437<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'Ventura, 56, 127<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).']"
1549,,Cape Verde Islands,New Spain,,,,424,340,,San Nicolas,"Mena, Francisco de",41664,"[u'AGS, CJH,23<><i>Archivo General de Simancas</i> (Simancas, Spain) Consejo y Juntas de Hacienda', u'Chaunus,II: 430-33, 437<><p>Chaunus, <em>xxxxxx</em> (xxxxx, 1955)</p>', u'Mira Caballos, 295<><p>Esteban Mira Caballos, ""Las Licencias de escravos negros a <span class=""st"">Hispanoam&eacute;rica</span> (1544-1550),"" <em>Revista de Indias</em>, 54 (1994): 273-98</p>', u'Ventura, 56, 125, 129<>Ventura, Maria da Gra\xe7a Mateus, <i>Negreiros portugueses na rota das \xedndias de Castela (1541-1556)</i> (Lisboa, 1999).', u'AGI,Contrataci\xf3n 2898, f. 155v<><p><em>AG!</em> (Seville)</p>']"
